type;name;description;parent_name;matches;is_default;attrs
super_class;equity;;;equities|stockPosition|equity securities|Aandelen;;
asset_class;shares and options;Shares of publicly traded companies;equity;futures|futures contracts|exchange-traded purchased options|exchange-traded written options;TRUE;
sub_class;regular stock;Regular equity;shares and options;common stocks|common stock|preferredPosition|shares|share|stock|stocks|preferred securities;TRUE;
sub_class;stock future;options, call, put;shares and options;options|share future|share futures|stock futures|call options|put options|call option|put option|otc written options;;
;;;;;;
super_class;fixed income;;;bond|bonds|fixed_income|fixedincome|fixed-income|debt|bondPosition|fi;;
asset_class;corporate;;fixed income;;;
sub_class;corporate bond;;corporate;convertiblePosition|corporate bonds & notes;TRUE;
sub_class;regular currency bond;bank deposit account;corporate;;;
;;;;;;
asset_class;government;;fixed income;;;
sub_class;government bond;;government;u.s. treasury obligations|short-term instruments|*treasury bills*|u.s. government agencies|sovereign issues;TRUE;
sub_class;municipal bond;;government;municipal bonds & notes;;
sub_class;government currency bond;goverment deposit account;government;;;
;;;;;;
asset_class;debt and claim securities;;fixed income;debts/claims;;
sub_class;mortgage backed;;debt and claim securities;non-agency mortgage-backed securities;;
sub_class;asset backed;An asset-backed security (ABS) is a type of financial bond whose value and regular income payments come from a pooled group of underlying, income-generating assets—such as car loans, credit card debt, student loans;debt and claim securities;asset-backed security|ABS|asset-backed securities;;
sub_class;buy-back agreements;;debt and claim securities;;;
;;;;;;
super_class;liquid;;;cashPosition;;
asset_class;cash;Cash posittions;liquid;cash & equivalents|cash and equivalents|cash equivalents|deposits;;
sub_class;money market;;cash;moneymarket|dollar short maturity;;
sub_class;money market short term;;cash;;;
sub_class;free spendable cash;;cash;;TRUE;
sub_class;bank guarantees;;cash;;;
sub_class;committed cash;;cash;;;
sub_class;cash offset accounts;;cash;;;
;;;;;;
super_class;other;;;others|otherPosition|misc|miscellaneous|unclassified;;
asset_class;crypto;;other;;;
sub_class;bitcoin;;crypto;;;
asset_class;financial products;;other;;;
sub_class;interest rate future;;financial products;;;
sub_class;interest rate swap;An interest rate swap is a financial contract where two parties trade different types of interest payment streams based on a shared principal amount. ;financial products;centrally cleared interest rate swaps;;
sub_class;index swap;for synthetic replication;financial products;;;
sub_class;forex constructs;Exchange Rate hedge, forwards, swaps and options;financial products;otc forward foreign currency contracts;;
sub_class;credit default swap;;financial products;centrally cleared credit default swaps on credit indices - sell protection|centrally cleared credit default swaps - sell protection|otc credit default swaps on credit indices - sell protection|otc credit default swaps - sell protection|centrally cleared credit default swaps on credit indices - buy protection|centrally cleared credit default swaps - buy protection;;
sub_class;bond future;;financial products;;;
sub_class;interest future;;financial products;;;
sub_class;treasury future;;financial products;;;
