type,name,description,parent_name,matches,is_default,attrs
currency,AED,UAE Dirham,,,FALSE,symbol=د.إ
currency,AFN,Afghan Afghani,,,FALSE,symbol=؋
currency,ALL,Albanian Lek,,,FALSE,symbol=L
currency,AMD,Armenian Dram,,,FALSE,symbol=֏
currency,ANG,Netherlands Antillean Guilder,,,FALSE,symbol=ƒ
currency,AOA,Angolan Kwanza,,,FALSE,symbol=Kz
currency,ARS,Argentine Peso,,,FALSE,symbol=$
currency,AUD,Australian Dollar,,aussie|australian dollars,FALSE,symbol=A$
currency,AWG,Aruban Florin,,,FALSE,symbol=ƒ
currency,AZN,Azerbaijani Manat,,,FALSE,symbol=₼
currency,BAM,Bosnia-Herzegovina Convertible Mark,,,FALSE,symbol=KM
currency,BBD,Barbadian Dollar,,,FALSE,symbol=$
currency,BDT,Bangladeshi Taka,,,FALSE,symbol=৳
currency,BGN,Bulgarian Lev,,,FALSE,symbol=лв
currency,BHD,Bahraini Dinar,,,FALSE,symbol=.د.ب
currency,BIF,Burundian Franc,,,FALSE,symbol=FBu
currency,BMD,Bermudan Dollar,,,FALSE,symbol=$
currency,BND,Brunei Dollar,,,FALSE,symbol=B$
currency,BOB,Bolivian Boliviano,,,FALSE,symbol=Bs.
currency,BRL,Brazilian Real,,,FALSE,symbol=R$
currency,BSD,Bahamian Dollar,,,FALSE,symbol=$
currency,BTN,Bhutanese Ngultrum,,,FALSE,symbol=Nu.
currency,BWP,Botswanan Pula,,,FALSE,symbol=P
currency,BYN,Belarusian Ruble,,,FALSE,symbol=Br
currency,BZD,Belize Dollar,,,FALSE,symbol=BZ$
currency,CAD,Canadian Dollar,,cad|canadian dollars,FALSE,symbol=C$
currency,CDF,Congolese Franc,,,FALSE,symbol=FC
currency,CHF,Swiss Franc,,sfr|swiss francs,FALSE,symbol=CHF
currency,CLP,Chilean Peso,,,FALSE,symbol=$
currency,CNY,Chinese Yuan,,rmb|renminbi|cnh|yuan,FALSE,symbol=¥
currency,COP,Colombian Peso,,,FALSE,symbol=$
currency,CRC,Costa Rican Colón,,,FALSE,symbol=₡
currency,CUP,Cuban Peso,,,FALSE,symbol=$
currency,CVE,Cape Verdean Escudo,,,FALSE,symbol=$
currency,CZK,Czech Koruna,,czech crown,FALSE,symbol=Kč
currency,DJF,Djiboutian Franc,,,FALSE,symbol=Fdj
currency,DKK,Danish Krone,,danish crown,FALSE,symbol=kr
currency,DOP,Dominican Peso,,,FALSE,symbol=RD$
currency,DZD,Algerian Dinar,,,FALSE,symbol=د.ج
currency,EGP,Egyptian Pound,,,FALSE,symbol=£
currency,ERN,Eritrean Nakfa,,,FALSE,symbol=Nfk
currency,ETB,Ethiopian Birr,,,FALSE,symbol=Br
currency,EUR,Euro,,euros,FALSE,symbol=€
