type;name;description;parent_name;matches;is_default;attrs
super_sector;cyclical;;;;;
super_sector;sensitive;;;;;
super_sector;defensive;;;;;
super_sector;n/a;Positions the equity sector question does not apply to: sovereign and municipal issuers have no line of business. Resolves to the reserved n/a residual, which counts as covered rather than as a data gap.;;south africa treasury bills|nigeria treasury bills|u.s. treasury bonds|u.s. treasury strips|u.s. treasury inflation protected securities|turkey treasury bills|egypt treasury bills|sovereign issues|new york|florida|california|illinois|georgia|government|governments|treasury|us treasury|u.s. treasury|united states treasury note/bond|treasury bonds|treasury notes|treasury bills|government bonds|sovereign|sovereigns|municipal|municipals|municipal bonds|agency|agencies|*treasury bill*|*government bond*;;
sector;basic materials;Chemicals, building materials, mining and metals.;cyclical;materials|basic resources|basic_materials|Materialen|Basismaterialen;;style_match=materials|basic resources|mining|gold miners|gold mining|metals and mining|chemicals|steel
sector;communication services;Telecoms, media, interactive media and services.;sensitive;communications|communication_services|Communicatiediensten|Communicatie|Telecommunicatiediensten|Communication|Media Cable;;style_match=telecommunications|telecommunication|telecom|telecoms|interactive media|social media
sector;consumer cyclical;Discretionary consumer goods and services â€” autos, hotels, retail.;cyclical;consumer discretionary|consumer cyclicals|consumer_cyclical|Luxe-consumentengoederen|Cyclische Cons.|Duurzame consumentengoederen|Luxe-consumenten­goederen|Cyclische consumentengoederen|Consument cyclisch|Luxe-consumptengoederen;;style_match=consumer discretionary|consumer cyclicals|automobiles|travel and leisure|leisure|luxury
sector;consumer defensive;Staple consumer goods â€” food, beverages, household products.;defensive;consumer staples|consumer non-cyclical|consumer staples products|staples|consumer_defensive|Niet-cyclische Cons.|Niet-duurzame consumentengoederen|Basis-consumenten­goede..|Basis-consumentengoederen;;style_match=consumer staples|consumer non cyclical|food and beverage|beverages|household goods|tobacco
sector;energy;Oil, gas, fuel, and energy equipment / services.;sensitive;oil & gas|oil and gas|oil, gas & consumable fuels|petroleum|Energie;;style_match=oil and gas|oil gas|petroleum|crude oil|energy equipment
sector;financial services;Banks, insurance, capital markets, diversified financials.;cyclical;financials|financial|financial|financial_services|financialservices|finance companies|banking & finance|Financiën|Financiële waarden|Financieel;;style_match=financials|banks|banking|insurance|capital markets|diversified financials
sector;healthcare;Pharmaceuticals, biotech, medical devices, providers.;defensive;health care|health|Gezondheidszorg;;style_match=health care|pharmaceuticals|pharmaceutical|pharma|biotech|biotechnology|medical devices|life sciences
