mstar_country,curr_name,iso_curr,curr_code
afghanistan,afghani,AFN,971
albania,lek,ALL,8
algeria,algerian dinar,DZD,12
american samoa,us dollar,USD,840
andorra,euro,EUR,978
angola,kwanza,AOA,973
anguilla,east caribbean dollar,XCD,951
antarctica,no universal currency,,
antigua and barbuda,east caribbean dollar,XCD,951
argentina,argentine peso,ARS,32
armenia,armenian dram,AMD,51
aruba,aruban florin,AWG,533
australia,australian dollar,AUD,36
austria,euro,EUR,978
azerbaijan,azerbaijanian manat,AZN,944
bahamas,bahamian dollar,BSD,44
bahrain,bahraini dinar,BHD,48
bangladesh,taka,BDT,50
barbados,barbados dollar,BBD,52
belarus,belarussian ruble,BYN,933
belgium,euro,EUR,978
belize,belize dollar,BZD,84
benin,cfa franc bceao,XOF,952
bermuda,bermudian dollar,BMD,60
bhutan,ngultrum,BTN,64
"bolivia, plurinational state of",boliviano,BOB,68
"bonaire, sint eustatius and saba",us dollar,USD,840
bosnia and herzegovina,convertible mark,BAM,977
botswana,pula,BWP,72
bouvet island,norwegian krone,NOK,578
brazil,brazilian real,BRL,986
british indian ocean territory,us dollar,USD,840
brunei darussalam,brunei dollar,BND,96
bulgaria,bulgarian lev,BGN,975
burkina faso,cfa franc bceao,XOF,952
burundi,burundi franc,BIF,108
cabo verde,cabo verde escudo,CVE,132
cambodia,riel,KHR,116
cameroon,cfa franc beac,XAF,950
canada,canadian dollar,CAD,124
cayman islands,cayman islands dollar,KYD,136
central african republic,cfa franc beac,XAF,950
chad,cfa franc beac,XAF,950
chile,chilean peso,CLP,152
china,yuan renminbi,CNY,156
christmas island,australian dollar,AUD,36
cocos (keeling) islands,australian dollar,AUD,36
colombia,colombian peso,COP,170
comoros,comoro franc,KMF,174
congo,congolese franc,CDF,976
"congo, democratic republic of the",congolese franc,CDF,976
cook islands,new zealand dollar,NZD,554
costa rica,costa rican colon,CRC,188
croatia,euro,EUR,978
cuba,cuban peso,CUP,192
curaçao,netherlands antillean guilder,ANG,532
cyprus,euro,EUR,978
czechrepublic,czech koruna,CZK,203
côte d'ivoire,cfa franc bceao,XOF,952
denmark,danish krone,DKK,208
djibouti,djibouti franc,DJF,262
dominica,east caribbean dollar,XCD,951
dominican republic,dominican peso,DOP,214
ecuador,us dollar,USD,840
egypt,egyptian pound,EGP,818
el salvador,us dollar,USD,840
equatorial guinea,cfa franc beac,XAF,950
eritrea,nakfa,ERN,232
estonia,euro,EUR,978
eswatini,lilangeni,SZL,748
ethiopia,ethiopian birr,ETB,230
