Version=3
key,kind,label,super_regions,style_match
northAmerica,region,North America,developed|world,north america|usa|united states|s&p 500|sp 500|nasdaq|dow jones|russell 1000|russell 2000|canada|canadian
latinAmerica,region,Latin America,emerging|world,latin america|latam|south america|brazil|brazilian|mexico|mexican|chile|colombia|peru|argentina
unitedKingdom,region,United Kingdom,europe|developed|world,uk|united kingdom|britain|british|ftse 100|ftse 250|ftse all-share
europeDeveloped,region,Europe (Developed),europe|developed|world,eurozone|euro zone|emu|euro stoxx|stoxx 600|stoxx europe|germany|german|dax|france|french|cac|switzerland|swiss|netherlands|dutch|italy|italian|spain|spanish|belgium|austria|ireland|portugal|nordic|scandinavia|sweden|swedish|norway|denmark|danish|finland
europeEmerging,region,Europe (Emerging),europe|emerging|world,eastern europe|emerging europe|poland|polish|turkey|turkish|greece|greek|hungary|czech|romania|russia|russian
africaMiddleEast,region,Africa & Middle East,emerging|world,africa|african|middle east|south africa|saudi|saudi arabia|israel|israeli|gulf|gcc|egypt|qatar|uae|kuwait|nigeria|morocco
japan,region,Japan,asia|pacific|developed|world,japan|japanese|nikkei|topix
australasia,region,Australasia,pacific|developed|world,australia|australian|new zealand|asx
asiaDeveloped,region,Asia (Developed),asia|pacific|developed|world,asia developed|developed asia|korea|korean|kospi|taiwan|taiwanese|singapore|hong kong|hang seng
asiaEmerging,region,Asia (Emerging),asia|emerging|world,asia ex japan|emerging asia|china|chinese|csi 300|india|indian|nifty|sensex|indonesia|vietnam|thailand|malaysia|philippines|pakistan|bangladesh
antartica,region,Antarctica,,
europe,super,Europe,world,european
asia,super,Asia,world,asian
pacific,super,Pacific,world,asia pacific|pacific rim|asia-pacific
developed,super,Developed Markets,world,developed markets|developed world|msci world|world ex emerging|world ex-emerging|kokusai
emerging,super,Emerging Markets,world,emerging markets|emerging market|emerging|msci em|ftse emerging
world,super,World,,acwi|msci acwi|all country|all country world|all-world|all world|ftse all-world|ftse global all cap|global equity|worldwide|whole world
