Version=19
sector,super_sector,description,matches,style_match
basic materials,cyclical,"Chemicals, building materials, mining and metals.",materials|basic resources|mining|chemicals|basic_materials,materials|basic resources|mining|gold miners|gold mining|metals and mining|chemicals|steel
communication services,sensitive,"Telecoms, media, interactive media and services.",communications|telecom|telecommunications|telecommunication services|media|telecom services|communication_services,telecommunications|telecommunication|telecom|telecoms|interactive media|social media
consumer cyclical,cyclical,"Discretionary consumer goods and services — autos, hotels, retail.",consumer discretionary|consumer cyclicals|retail|consumer_cyclical,consumer discretionary|consumer cyclicals|automobiles|travel and leisure|leisure|luxury
consumer defensive,defensive,"Staple consumer goods — food, beverages, household products.",consumer staples|consumer non-cyclical|consumer staples products|staples|consumer_defensive,consumer staples|consumer non cyclical|food and beverage|beverages|household goods|tobacco
energy,sensitive,"Oil, gas, fuel, and energy equipment / services.","oil & gas|oil and gas|oil, gas & consumable fuels|petroleum",oil and gas|oil gas|petroleum|crude oil|energy equipment
financial services,cyclical,"Banks, insurance, capital markets, diversified financials.",financials|financial|banks|insurance|banking|financial|financial_services|financialservices|finance companies|brokerage/asset managers/exchanges|financial other,financials|banks|banking|insurance|capital markets|diversified financials
healthcare,defensive,"Pharmaceuticals, biotech, medical devices, providers.",health care|health|pharmaceuticals|biotech|pharma,health care|pharmaceuticals|pharmaceutical|pharma|biotech|biotechnology|medical devices|life sciences
industrials,sensitive,"Aerospace & defense, capital goods, transportation, construction.",industrial|capital goods|transportation|aerospace & defense|autotjes maken|basic industry|industrial other|industrie en dienstverlening,industrial|capital goods|aerospace and defense|aerospace and defence|aerospace|defence|defense|transportation|machinery
real estate,cyclical,REITs and real estate management & development.,reit|reits|real estate investment trusts|realestate|other,reit|reits|real estate investment trust|real estate investment trusts|property
technology,sensitive,"Software, hardware, semiconductors, IT services.",information technology|tech|it|infotech|software|semiconductors|bioloog tech|telco|communication|informatie technologie,information technology|infotech|semiconductor|semiconductors|software|hardware|it services
utilities,defensive,"Electric, gas, water, and multi-utility companies.",utility|electric utilities|electric|utility other|owned no guarantee,utility|electric utilities|water utilities|multi utilities
cash and/or derivatives,defensive,"Cash, deposit accounts, money-market positions, and short-dated derivative offsets.",cash|cash and derivatives|cash & derivatives|derivatives|money market|deposits,
